param X :=
1 2
2 2
3 2
4 2
5 2
6 2
7 2
8 2
9 2
10 2
11 2
12 2
13 3
14 3
15 3
16 3
17 3
18 3
19 3
20 3
21 3
22 4
23 4
24 4
25 4
26 4
27 4
28 4
29 4
30 5
31 5
32 5
33 5
34 5
35 5
36 5
37 5
38 5
39 6
40 6
41 6
42 6
43 6
44 6
45 6
46 6
47 7
48 7
49 7
50 7
51 7
52 7
53 7
54 8
55 8
56 8
57 8
58 8
59 8
60 8
61 8
62 9
63 9
64 9
65 9
66 9
67 9
68 9
69 9
70 9
71 10
72 10
73 10
74 10
75 10
76 10
77 10
78 11
79 11
80 11
81 11
82 11
83 11
84 11
85 11
86 12
87 12
88 12
89 12
90 12
91 12
92 12
93 13
94 13
95 13
96 13
97 13
98 13
99 13
100 13
101 13
102 13;

param Y :=
1 1
2 2
3 3
4 4
5 5
6 6
7 7
8 8
9 9
10 10
11 11
12 12
13 1
14 2
15 4
16 5
17 6
18 8
19 10
20 11
21 12
22 1
23 3
24 4
25 6
26 7
27 9
28 10
29 12
30 1
31 2
32 3
33 5
34 7
35 8
36 10
37 11
38 12
39 1
40 2
41 4
42 6
43 7
44 9
45 10
46 12
47 1
48 2
49 3
50 5
51 8
52 11
53 12
54 1
55 2
56 4
57 6
58 7
59 9
60 10
61 12
62 1
63 2
64 3
65 5
66 7
67 8
68 9
69 11
70 12
71 1
72 2
73 4
74 6
75 9
76 10
77 12
78 1
79 3
80 4
81 5
82 7
83 9
84 11
85 12
86 1
87 2
88 4
89 6
90 8
91 10
92 12
93 1
94 2
95 3
96 5
97 6
98 7
99 9
100 10
101 11
102 12;


#param upper_limit :=
#5
#8
#11
#11
#24
#10
#11
#10
#7
#5;



param XF :=
1 0
2 0
3 0
4 0
5 0
6 0
7 0
8 0
9 0
10 0;


param YF :=
1 2
2 3
3 4
4 5
5 6
6 7
7 8
8 9
9 10
10 11;


param COMPATIBLE_HEADS :=
1 5
2 1
3 9
4 1
5 9
6 1
7 9
8 1
9 9
10 1
11 9
12 5
13 5
14 1
15 3
16 3
17 3
18 3
19 3
20 5
21 5
22 5
23 3
24 6
25 1
26 1
27 1
28 1
29 5
30 5
31 1
32 9
33 3
34 5
35 9
36 7
37 1
38 5
39 5
40 6
41 5
42 6
43 3
44 1
45 3
46 5
47 5
48 1
49 1
50 5
51 1
52 7
53 5
54 5
55 3
56 9
57 1
58 3
59 7
60 7
61 5
62 5
63 3
64 1
65 1
66 3
67 6
68 1
69 3
70 5
71 5
72 1
73 6
74 1
75 5
76 9
77 5
78 5
79 1
80 1
81 3
82 5
83 1
84 1
85 5
86 5
87 3
88 1
89 3
90 7
91 5
92 5
93 5
94 1
95 9
96 1
97 1
98 9
99 3
100 1
101 1
102 5;
